r, n(r;f), dh, beta
1.0,1.0,0.0,1.5514927380692891
0.9995,1.0004958264428834,0.017636419277389154,1.5522620091947654
0.999,1.0009835834572494,0.029516613960440818,1.5530187606604966
0.9985,1.001463688720322,0.03783625469506806,1.5537636404896629
0.998,1.0019365000026879,0.04394251482062207,1.5544972037607305
0.9975,1.002402360932894,0.048619419783532715,1.5552199836108955
0.997,1.0028615939264292,0.052332829936420765,1.555932480265447
0.9965,1.0033144854060922,0.055370464188828204,1.5566351381072778
0.996,1.0037613032825126,0.05791746892714368,1.5573283727977836
0.9955,1.0042023029935214,0.06009754937616872,1.5580125806469045
0.995,1.0046377251973186,0.06199613647326056,1.55868813503409
0.9945,1.005067781236378,0.0636739149523876,1.5593553638556534
0.994,1.0054926818155798,0.06517519256892118,1.5600145940186865
0.9935,1.0059126180959876,0.06653299296457288,1.560666122108191
0.993,1.006327762726496,0.06777241764424641,1.561310215987673
0.9925,1.0067382964586662,0.06891294918865765,1.5619471560918676
0.992,1.0071443777993536,0.06996987333994156,1.5625771883430097
0.9915,1.0075461521450229,0.07095536792453504,1.5632005383226582
0.991,1.0079437675930274,0.07187929020320834,1.5638174358027812
0.9905,1.0083373526969035,0.07274966391794623,1.5644280802332573
0.99,1.0087270484829856,0.07357314975918852,1.5650326904154197
0.9895,1.009112958953269,0.07435523503738986,1.5656314277076095
0.989,1.0094951968500103,0.07510055773241142,1.5662244670286185
0.9885,1.0098738890575047,0.07581308169909955,1.5668120052385095
0.988,1.0102491281365982,0.07649613666098332,1.5673941859447629
0.9875,1.0106210197585275,0.07715261308460061,1.567971173095535
0.987,1.0109896450429892,0.07778497537818488,1.568543092547446
0.9865,1.0113551052910894,0.07839540542671687,1.5691101014684266
0.986,1.0117174745515054,0.07898577323093928,1.5696723147444613
0.9855,1.0120768470543238,0.07955775849967783,1.570229878572846
0.985,1.012433296848222,0.08011281865862041,1.5707829078395652
0.9845,1.012786895280987,0.08065224645507602,1.571331513240193
0.984,1.0131377049601462,0.0811771841953623,1.571875791909853
0.9835,1.0134858201157868,0.08168870262296353,1.5724158900458411
0.983,1.0138312848432665,0.08218769571473863,1.5729518760617849
0.9825,1.0141741634193533,0.08267499922629332,1.5734838496826231
0.982,1.0145145298927245,0.08315138501134203,1.5740119257943408
0.9815,1.0148524327288677,0.08361752119158035,1.57453617959079
0.981,1.0151879203932714,0.08407401734809168,1.5750566862658242
0.9805,1.0155210571627036,0.0845214524340215,1.575573545544382
0.98,1.015851901274561,0.08496035056990434,1.5760868477813619
0.9795,1.016180484351404,0.08539115990875804,1.5765966420389361
0.979,1.0165068717016486,0.08581433676587781,1.5771030296426383
0.9785,1.0168310949478547,0.08623026108787332,1.5776060596546404
0.978,1.0171532166975497,0.08663932377819013,1.5781058292100663
0.9775,1.0174732669040523,0.08704184801562932,1.5786023847812727
0.977,1.0177912825917008,0.08743814305361777,1.5790957838112516
0.9765,1.018107316596114,0.0878285167655055,1.5795861082740816
0.976,1.01842140594163,0.08821323823503338,1.5800734156127547
0.9755,1.0187335805815678,0.08859255091431002,1.5805577522996275
0.975,1.019043877540266,0.0889666914777808,1.5810391757776925
0.9745,1.019352338212193,0.08933588764257976,1.5815177502701674
0.974,1.0196589996216874,0.0897003488715852,1.5819935332200439
0.9735,1.0199638802809181,0.0900602510282305,1.5824665533488183
0.973,1.0202670259544846,0.09041579156347788,1.5829368816599338
0.9725,1.020568462225575,0.09076713425700231,1.5834045578455214
0.972,1.0208682217483978,0.09111444222210553,1.583869632568348
0.9715,1.021166336145513,0.09145786906269364,1.584332154890586
0.971,1.0214628222598483,0.09179754384599005,1.5847921509439156
0.9705,1.0217577187849838,0.09213361376254747,1.5852496807611451
0.97,1.0220510442330883,0.09246619646337023,1.5857047730637703
0.9695,1.0223428356285005,0.09279542466398294,1.5861574852947833
0.969,1.0226331071132588,0.09312139969766337,1.5866078393954546
0.9685,1.022921890309924,0.09344423752425983,1.587055884427957
0.968,1.023209209132443,0.09376404067085138,1.5875016574946057
0.9675,1.023495081061337,0.09408090015919528,1.5879451857163027
0.967,1.0237795370815734,0.09439491791138042,1.5883865171659997
0.9665,1.0240625903035427,0.09470617228885753,1.588825672184372
0.966,1.0243442663104338,0.09501475190283061,1.589262690463552
0.9655,1.0246245836144159,0.09532073429198164,1.5896976007250354
0.965,1.024903560727658,0.09562419395021213,1.590130431690318
0.9645,1.0251812319736093,0.09592521963032027,1.5905612366119821
0.964,1.0254576000531592,0.09622386307260418,1.590990019680438
0.9635,1.025732687848607,0.09652019543155839,1.5914168163974067
0.963,1.026006525313272,0.09681429302595253,1.5918416732352456
0.9625,1.0262791124471535,0.09710619778482711,1.592264590193954
0.962,1.0265504721325518,0.09739597417608264,1.5926856027752543
0.9615,1.026820632653544,0.09768369039103447,1.5931047548616868
0.961,1.0270895956793717,0.09796938442402492,1.5935220490430675
0.9605,1.0273573867932233,0.09825311800783353,1.5939375250115277
0.9600000000000001,1.027624020137138,0.09853493906882467,1.5943512047083386
0.9595,1.0278895158925259,0.09881490037658512,1.594763119444811
0.9590000000000001,1.0281538723901458,0.09909303024452795,1.5951732666311298
0.9585,1.028417121252558,0.09936939068500583,1.5955816953294673
0.9580000000000001,1.0286792722516709,0.0996440193992141,1.5959884207008685
0.9575,1.028940329757615,0.09991694726670984,1.5963934495255592
0.9570000000000001,1.0292003264245981,0.10018823357417597,1.596796832466306
0.9565,1.0294592639218616,0.1004579041250093,1.597198572112924
0.9560000000000001,1.0297171563914445,0.10072599673354027,1.5975986904066846
0.9555,1.0299740179753853,0.10099254822447715,1.597997209288858
0.9550000000000001,1.030229857413945,0.10125758889087479,1.5983941423198949
0.9545,1.0304847002903121,0.10152116557420894,1.5987895291919272
0.9540000000000001,1.030738542234356,0.10178329328364366,1.5991833631247285
0.9535,1.0309914034274876,0.10204401163161064,1.5995756754296118
0.9530000000000001,1.0312432936416152,0.10230334871130703,1.5999664812676213
0.9525,1.0314942243178884,0.1025613336210477,1.6003557983896182
0.9520000000000001,1.0317442112675876,0.10281799925660194,1.6007436513266886
0.9515,1.0319932571916017,0.10307336440148848,1.6011300442692422
0.9510000000000001,1.032241377901211,0.10332746067791083,1.6015150017483655
0.9505,1.032488587538454,0.10358031738277029,1.6018985457053287
0.9500000000000001,1.0327348861033308,0.10383194879088034,1.602280676140132
0.9495,1.0329802894071216,0.10408238481192642,1.6026614175838618
0.9490000000000001,1.0332248115918654,0.10433165311397542,1.6030407919777887
0.9485,1.0334684570276924,0.10457977090986938,1.603418806102138
0.9480000000000001,1.0337112398566413,0.10482676490182205,1.60379548189818
0.9475,1.0339531600787122,0.10507264695863519,1.6041708193659152
0.9470000000000001,1.0341942335051855,0.10531744460337743,1.60454484303643
0.9465,1.0344344742780995,0.10556118323156559,1.6049175748509943
0.9460000000000001,1.0346738867675849,0.1058038779274084,1.6052890215898339
0.9455,1.0349124709736415,0.10604553899009347,1.6056591832529488
0.9450000000000001,1.035150248109328,0.10628619784776022,1.6060280927522452
0.9445,1.035387219843885,0.10652586578636604,1.606395752677538
0.9440000000000001,1.0356233959492216,0.10676456196748096,1.6067621781898733
0.9435,1.035858787866487,0.10700230691700535,1.607127387040111
0.9430000000000001,1.0360933928947929,0.10723910657879648,1.607491375037842
0.9425,1.036327236617327,0.10747499515435895,1.6078541818751968
0.9420000000000001,1.03656030322281,0.10770996480324481,1.60821578302109
0.9415,1.0367926243338015,0.10794405525118324,1.6085762275376936
0.9410000000000001,1.0370241868399108,0.1081772608759821,1.6089354950843313
0.9405,1.0372550179935678,0.10840961646874472,1.6092936279429502
0.9400000000000001,1.0374851107237528,0.10864112201854405,1.6096506151429149
0.9395,1.037714467731355,0.10887178713712684,1.610006460874635
0.9390000000000001,1.037943107528544,0.1091016371144751,1.6103611938596072
0.9385,1.0381710388555798,0.10933068719248694,1.610714827658282
0.9380000000000001,1.0383982573423325,0.10955893923963034,1.6110673554904338
0.9375,1.0386247771308408,0.10978641353083306,1.6114187992973334
0.937,1.0388506069613652,0.11001312472057427,1.6117691726394314
0.9365,1.0390757424637758,0.11023907412356268,1.6121184687365029
0.936,1.0393001950792222,0.1104642787533864,1.6124667053394088
0.9355,1.039523978949743,0.11068875815847862,1.612813904389419
0.935,1.0397470913744493,0.110912514828234,1.6131600616961237
0.9345,1.0399695279832109,0.1111355494294358,1.613505170479298
0.934,1.0401913230994768,0.11135790127216742,1.613849283991524
0.9335,1.0404124609119672,0.11157955925361487,1.614192377701715
0.933,1.0406329528618317,0.11180053945462362,1.6145344693607326
0.9325,1.0408528033192006,0.1120208507319465,1.6148755657488019
0.932,1.0410720149849628,0.11224050013955265,1.615215671056332
0.9315,1.0412906036703988,0.11245950774094637,1.6155548098144101
0.931,1.0415085579343588,0.11267786617285001,1.615892964272175
0.9305,1.0417259033600312,0.1128956050481091,1.6162301741217586
0.93,1.0419426328763965,0.11311272115112266,1.6165664283925245
0.9295,1.0421587508535854,0.11332922261896004,1.6169017338646994
0.929,1.042374267063506,0.11354512289368719,1.6172361056993274
0.9285,1.0425891831754,0.11376042719760496,1.617569546486225
0.928,1.0428035018901562,0.11397514168689038,1.6179020604158016
0.9275,1.0430172417199437,0.11418928826294432,1.618233676209553
0.927,1.0432303841525936,0.11440285163938381,1.6185643651459838
0.9265,1.0434429564405354,0.11461586229332087,1.6188941695070402
0.926,1.0436549454733783,0.11482831017124012,1.6192230689520464
0.9255,1.043866371432533,0.11504021849741208,1.619551094792314
0.925,1.0440772299478687,0.11525158581013456,1.6198782402476175
0.9245,1.0442875280904051,0.11546242203541775,1.6202045162885923
0.924,1.0444972631592528,0.11567272722529225,1.620529918724828
0.9235,1.0447064536665815,0.11588252262921214,1.6208544762778214
0.923,1.0449150838011108,0.11609179500308395,1.621178164416486
0.9225,1.04512317644514,0.11630056984200814,1.6215010186425431
0.922,1.0453307315986697,0.11650884962464265,1.6218230389559933
0.9215,1.0455377492616993,0.11671663676120675,1.6221442253568357
0.921,1.0457442294342292,0.11692393359500926,1.622464577845071
0.9205,1.0459501835574088,0.1171307538946766,1.6227841141715598
0.92,1.0461556143321276,0.11733710259663942,1.6231028385267119
0.9195,1.0463605234276265,0.11754298354188811,1.6234207535003429
0.919,1.046564920615814,0.1177484086577093,1.6237378742534976
0.9185,1.046768796124782,0.11795337017348856,1.6240541856251316
0.918,1.0469721667974583,0.11815788701841447,1.624369713746925
0.9175,1.0471750299329534,0.11836195842380197,1.6246844544284678
0.917,1.0473773969724176,0.11856559779656713,1.624998425420621
0.9165,1.0475792564747006,0.11876879546836637,1.6253116089725232
0.916,1.047780626951972,0.11897157187097042,1.6256240338056716
0.9155,1.0479815084042319,0.11917392876083707,1.6259356999200654
0.915,1.04818188939033,0.11937585631395302,1.626246589564844
0.9145,1.0483817927925665,0.11957737924888502,1.6265567382417292
0.914,1.048581218610941,0.11977849919180783,1.6268661459507205
0.9135,1.0487801668454533,0.11997921772358919,1.6271748126918182
0.913,1.0489786331259732,0.12017953196893828,1.6274827316847964
0.9125,1.0491766332637813,0.12037945938371697,1.6277899274607424
0.912,1.0493741628887465,0.12057899701744378,1.6280963932394295
0.9115,1.0495712290718888,0.12077815343564458,1.6284021399914939
0.911,1.049767829112319,0.1209769272937988,1.6287071635265253
0.9105,1.0499639744511866,0.12117533151099696,1.6290114815953847
0.91,1.0501596634192505,0.1213733657183576,1.629315091608256
0.9095,1.0503548906147326,0.12157102572617724,1.6296179851843202
0.909,1.0505496799515803,0.12176833699959762,1.6299201994258927
0.9085,1.0507440145868654,0.12196528369989715,1.6302217082012929
0.908,1.0509379086626272,0.12216188134431773,1.6305225334517919
0.9075,1.0511313551078458,0.12235812391907361,1.630822664206754
0.907,1.05132436806456,0.12255402689815736,1.6311221224074495
0.9065,1.0515169448318813,0.1227495886436927,1.631420903863469
0.906,1.0517090881106985,0.12294481296967225,1.6317190127652228
0.9055,1.0519007952001223,0.1231396981714532,1.6320164449223002
0.905,1.0520920802421918,0.12333425964344845,1.6323132222759724
0.9045,1.0522829432369067,0.12352849838506509,1.6326093448262389
0.904,1.0524733814833782,0.1237224126152631,1.6329048083826898
0.9035,1.052663393312365,0.12391600156914817,1.6331996103555102
0.903,1.0528529918342582,0.12410927952007939,1.633493771085376
0.9025,1.0530421753798165,0.12430224566469472,1.633787287982472
0.902,1.05323094831917,0.12449490533397713,1.634080167827023
0.9015,1.0534193106523189,0.12468725937861429,1.6343724106190292
0.901,1.0536072738204127,0.12487932031718973,1.6346640341093515
0.9005,1.0537948149411525,0.1250710655673312,1.6349550027962685
0.9,1.053981968337987,0.12526253100617143,1.6352453699323621
0.8995,1.0541687181996362,0.12545370123503108,1.6355351109865464
0.899,1.0543550688962307,0.12564458146953547,1.6358242327390469
0.8985,1.0545410204277703,0.12583517243213,1.6361127351898634
