Effective Refractance index n(r,f). f =  2.00000000000000000Mode #  1
Радиус 	                n(r,f) 	
2.15000000000000004E-2	1.17525389149221344E+0	
2.20000000000000005E-2	1.17525120403971416E+0	
2.25000000000000005E-2	1.17524844960955756E+0	
2.30000000000000005E-2	1.17524563527276305E+0	
2.35000000000000005E-2	1.17524276102933065E+0	
2.40000000000000005E-2	1.17523981980824092E+0	
2.45000000000000005E-2	1.17523682305064362E+0	
2.50000000000000005E-2	1.17523376201627809E+0	
2.55000000000000005E-2	1.17523063400425523E+0	
2.60000000000000005E-2	1.17522745752674424E+0	
2.65000000000000006E-2	1.17522420700055649E+0	
2.70000000000000006E-2	1.17522090363875027E+0	
2.75000000000000006E-2	1.17521752892915638E+0	
2.80000000000000006E-2	1.17521409868305494E+0	
2.85000000000000006E-2	1.17521060145929616E+0	
2.90000000000000006E-2	1.17520704432889949E+0	
2.95000000000000006E-2	1.17520343166199525E+0	
3.00000000000000006E-2	1.17519974764730335E+0	
3.05000000000000006E-2	1.17519601079699297E+0	
3.10000000000000006E-2	1.17519220426813619E+0	
3.15000000000000007E-2	1.17518834053353058E+0	
3.20000000000000007E-2	1.17518441419139799E+0	
3.25000000000000007E-2	1.17518042794262750E+0	
3.30000000000000007E-2	1.17517637034606935E+0	
3.35000000000000007E-2	1.17517225721300363E+0	
3.40000000000000007E-2	1.17516808417330001E+0	
3.45000000000000007E-2	1.17516385559708883E+0	
3.50000000000000007E-2	1.17515955567308999E+0	
3.55000000000000007E-2	1.17515519584245324E+0	
3.60000000000000008E-2	1.17515076903415917E+0	
3.65000000000000008E-2	1.17514628668935754E+0	
3.70000000000000008E-2	1.17514174006778766E+0	
3.75000000000000008E-2	1.17513713790971023E+0	
3.80000000000000008E-2	1.17513246877397547E+0	
3.85000000000000008E-2	1.17512773973160281E+0	
3.90000000000000008E-2	1.17512294641246191E+0	
3.95000000000000008E-2	1.17511809048579402E+0	
4.00000000000000008E-2	1.17511317465248823E+0	
4.05000000000000008E-2	1.17510819184152512E+0	
4.10000000000000009E-2	1.17510315349405444E+0	
4.15000000000000009E-2	1.17509805794083495E+0	
4.20000000000000009E-2	1.17509289270906905E+0	
4.25000000000000009E-2	1.17508766320053491E+0	
4.30000000000000009E-2	1.17508237815549320E+0	
4.35000000000000009E-2	1.17507702883368326E+0	
4.40000000000000009E-2	1.17507161690434633E+0	
4.45000000000000009E-2	1.17506614506837150E+0	
4.50000000000000009E-2	1.17506060625473934E+0	
4.55000000000000009E-2	1.17505501460548871E+0	
4.60000000000000010E-2	1.17504934890756132E+0	
4.65000000000000010E-2	1.17504363037401546E+0	
4.70000000000000010E-2	1.17503784486281228E+0	
4.75000000000000010E-2	1.17503200381510153E+0	
4.80000000000000010E-2	1.17502609849062254E+0	
4.85000000000000010E-2	1.17502013055861657E+0	
4.90000000000000010E-2	1.17501409834984236E+0	
4.95000000000000010E-2	1.17500800353354116E+0	
5.00000000000000010E-2	1.17500185588162148E+0	
5.05000000000000010E-2	1.17499564125204448E+0	
5.10000000000000011E-2	1.17498935964481015E+0	
5.15000000000000011E-2	1.17498301376080759E+0	
5.20000000000000011E-2	1.17497661671042780E+0	
5.25000000000000011E-2	1.17497015538327977E+0	
5.30000000000000011E-2	1.17496362707847441E+0	
5.35000000000000011E-2	1.17495703886703115E+0	
5.40000000000000011E-2	1.17495038804806091E+0	
5.45000000000000011E-2	1.17494368439347219E+0	
5.50000000000000011E-2	1.17493690232007638E+0	
5.55000000000000012E-2	1.17493007178119244E+0	
5.60000000000000012E-2	1.17492317426465117E+0	
5.65000000000000012E-2	1.17491621247134166E+0	
5.70000000000000012E-2	1.17490918807050516E+0	
5.75000000000000012E-2	1.17490211520418052E+0	
5.80000000000000012E-2	1.17489495954891846E+0	
5.85000000000000012E-2	1.17488775979829860E+0	
5.90000000000000012E-2	1.17488048869989108E+0	
5.95000000000000012E-2	1.17487315769484565E+0	
6.00000000000000012E-2	1.17486576408227324E+0	
6.05000000000000013E-2	1.17485830619293258E+0	
6.10000000000000013E-2	1.17485079276708437E+0	
6.15000000000000013E-2	1.17484321943459825E+0	
6.20000000000000013E-2	1.17483557475432447E+0	
6.25000000000000013E-2	1.17482786746652371E+0	
6.30000000000000013E-2	1.17482010734310446E+0	
6.35000000000000013E-2	1.17481228024202790E+0	
6.40000000000000013E-2	1.17480438616329400E+0	
6.45000000000000013E-2	1.17479643924894163E+0	
6.50000000000000014E-2	1.17478842535693194E+0	
6.55000000000000014E-2	1.17478035592841468E+0	
6.60000000000000014E-2	1.17477221515210976E+0	
6.65000000000000014E-2	1.17476401446916693E+0	
6.70000000000000014E-2	1.17475575117869712E+0	
6.75000000000000014E-2	1.17474743505260884E+0	
6.80000000000000014E-2	1.17473904757873289E+0	
6.85000000000000014E-2	1.17473059749732995E+0	
6.90000000000000014E-2	1.17472208750928911E+0	
6.95000000000000014E-2	1.17471351761461038E+0	
7.00000000000000015E-2	1.17470488781329374E+0	
7.05000000000000015E-2	1.17469619103431977E+0	
7.10000000000000015E-2	1.17468743434870790E+0	
7.15000000000000015E-2	1.17467861775645814E+0	
7.20000000000000015E-2	1.17466973855668138E+0	
7.25000000000000015E-2	1.17466078800911697E+0	
7.30000000000000015E-2	1.17465178462593407E+0	
7.35000000000000015E-2	1.17464271863522419E+0	
7.40000000000000015E-2	1.17463359273787641E+0	
7.45000000000000016E-2	1.17462439549274097E+0	
7.50000000000000016E-2	1.17461514271109796E+0	
7.55000000000000016E-2	1.17460583002281705E+0	
7.60000000000000016E-2	1.17459645035687881E+0	
7.65000000000000016E-2	1.17458701078430268E+0	
7.70000000000000016E-2	1.17457751130508864E+0	
7.75000000000000016E-2	1.17456794484821728E+0	
7.80000000000000016E-2	1.17455831848470802E+0	
7.85000000000000016E-2	1.17454862514354143E+0	
7.90000000000000016E-2	1.17453888333688671E+0	
7.95000000000000017E-2	1.17452906311142489E+0	
8.00000000000000017E-2	1.17451919005034460E+0	
8.05000000000000017E-2	1.17450925438173733E+0	
8.10000000000000017E-2	1.17449925443636181E+0	
8.15000000000000017E-2	1.17448919188345931E+0	
8.20000000000000017E-2	1.17447906942391890E+0	
8.25000000000000017E-2	1.17446888705774060E+0	
8.30000000000000017E-2	1.17445863771390497E+0	
8.35000000000000017E-2	1.17444832409330109E+0	
8.40000000000000018E-2	1.17443795930632000E+0	
8.45000000000000018E-2	1.17442752317155124E+0	
8.50000000000000018E-2	1.17441702713014458E+0	
8.55000000000000018E-2	1.17440647118210002E+0	
8.60000000000000018E-2	1.17439584825639814E+0	
8.65000000000000018E-2	1.17438516272316927E+0	
8.70000000000000018E-2	1.17437441998419158E+0	
8.75000000000000018E-2	1.17436361463768691E+0	
8.80000000000000018E-2	1.17435274501441399E+0	
8.85000000000000018E-2	1.17434181278361409E+0	
8.90000000000000018E-2	1.17433082064617629E+0	
8.95000000000000019E-2	1.17431976423197025E+0	
9.00000000000000019E-2	1.17430864521023723E+0	
9.05000000000000019E-2	1.17429746628186630E+0	
9.10000000000000019E-2	1.17428622744685747E+0	
9.15000000000000019E-2	1.17427492163419131E+0	
9.20000000000000019E-2	1.17426355591488726E+0	
9.25000000000000019E-2	1.17425212321792588E+0	
9.30000000000000019E-2	1.17424063498445694E+0	
9.35000000000000019E-2	1.17422908247421975E+0	
9.40000000000000020E-2	1.17421746298632525E+0	
9.45000000000000020E-2	1.17420578796192318E+0	
9.50000000000000020E-2	1.17419404866075287E+0	
9.55000000000000020E-2	1.17418224675205557E+0	
9.60000000000000020E-2	1.17417037349557061E+0	
9.65000000000000020E-2	1.17415845177359751E+0	
9.70000000000000020E-2	1.17414646307396709E+0	
9.75000000000000020E-2	1.17413441446769876E+0	
9.80000000000000020E-2	1.17412229451364277E+0	
9.85000000000000020E-2	1.17411011902307922E+0	
9.90000000000000021E-2	1.17409788362587777E+0	
9.95000000000000021E-2	1.17408558125101899E+0	
1.00000000000000002E-1	1.17407321896952232E+0	
1.00500000000000002E-1	1.17406078971036831E+0	
1.01000000000000002E-1	1.17404830491470675E+0	
1.01500000000000002E-1	1.17403575584227694E+0	
1.02000000000000002E-1	1.17402313979218981E+0	
1.02500000000000002E-1	1.17401046820559512E+0	
1.03000000000000002E-1	1.17399773234223219E+0	
1.03500000000000002E-1	1.17398493387134227E+0	
1.04000000000000002E-1	1.17397207112368411E+0	
1.04500000000000002E-1	1.17395914576849896E+0	
1.05000000000000002E-1	1.17394615613654558E+0	
